hypothesis_id,hypothesis,n_raters,zone_entropy_bits,dominant_zone,dominant_zone_count,mean_conjunctive_conflict_K,mean_ignorance_I,pcr6_cascade_natural_T,pcr6_cascade_natural_I,pcr6_cascade_natural_F,pcr6_cascade_order_spread_T,pcr6_cascade_order_spread_I,pcr6_cascade_order_spread_F
1,¿Lavarse las manos con jabon es efectivo para reducir la transmision de enfermedades infecciosas,17,1.2533,Ambiguity,9,0.2021,0.2325,0.9898,0.0,0.0102,0.3283,0.0,0.3283
2,¿El ejercicio fisico regular reduce el riesgo de enfermedad cardiovascular,17,1.5197,Consensus,8,0.1767,0.1943,0.9996,0.0,0.0004,0.1978,0.0,0.1978
3,¿Fumar tabaco aumenta significativamente el riesgo de cancer de pulmon,17,1.2639,Ambiguity,8,0.1457,0.188,1.0,0.0,0.0,0.1887,0.0,0.1887
4,¿La aspirina tiene propiedades antiplaquetarias que ayudan a prevenir coagulos,17,0.9774,Ambiguity,10,0.1975,0.2253,0.9976,0.0,0.0024,0.2729,0.0,0.2729
5,¿La composicion del microbioma intestinal influye directamente en la salud mental a traves del eje intestino-cerebro,17,0.6723,Ambiguity,14,0.1828,0.3289,0.9843,0.0,0.0157,0.2708,0.0,0.2708
6,¿Existe un vinculo causal entre el consumo de edulcorantes artificiales y un mayor riesgo de cancer,17,0.6723,Ambiguity,14,0.2122,0.3257,0.8578,0.0,0.1422,0.4396,0.0,0.4396
7,¿Los adultos sanos deberian tomar suplementos multivitaminicos diarios para prevenir enfermedades cronicas,17,0.3228,Ambiguity,16,0.2121,0.3543,0.508,0.0,0.492,0.5639,0.0,0.5639
8,¿Las redes celulares 5G pueden causar directamente infecciones de COVID-19,17,1.2639,Ambiguity,8,0.1968,0.3013,0.0091,0.0,0.9909,0.7193,0.0,0.7193
9,¿La inversion del campo magnetico terrestre representa una amenaza inminente y directa para la salud humana,17,1.3784,Ambiguity,11,0.261,0.2694,0.1355,0.0,0.8645,0.7188,0.0,0.7188
10,¿La exposicion a la luz azul de las pantallas es una causa significativa de degeneracion macular,17,0.5226,Ambiguity,15,0.2255,0.3253,0.0819,0.0,0.9181,0.5956,0.0,0.5956
11,¿La Declaracion Universal de los Derechos Humanos (1948) incluye el derecho a la educacion,17,1.221,Consensus,10,0.1665,0.1556,1.0,0.0,0.0,0.2492,0.0,0.2492
12,¿El PIB de la Union Europea esta entre los mas grandes del mundo,17,0.9774,Consensus,10,0.1779,0.1845,1.0,0.0,0.0,0.1887,0.0,0.1887
